loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8452,6.94550895690918,1.16e-05,1.2266666666666666,460,,,,,,,,,,,,,
1.9066,7.397358417510986,1.1200000000000001e-05,1.2533333333333334,470,,,,,,,,,,,,,
1.7064,6.186606407165527,1.08e-05,1.28,480,,,,,,,,,,,,,
1.9204,5.745007038116455,1.04e-05,1.3066666666666666,490,,,,,,,,,,,,,
1.8782,5.688543796539307,9.999999999999999e-06,1.3333333333333333,500,,,,,,,,,,,,,
1.8078,6.606878280639648,9.600000000000001e-06,1.3599999999999999,510,,,,,,,,,,,,,
1.8644,6.944732666015625,9.2e-06,1.3866666666666667,520,,,,,,,,,,,,,
1.5442,4.129775047302246,8.8e-06,1.4133333333333333,530,,,,,,,,,,,,,
1.8909,6.851932048797607,8.400000000000001e-06,1.44,540,,,,,,,,,,,,,
1.7653,6.146296977996826,8e-06,1.4666666666666668,550,,,,,,,,,,,,,
1.8002,7.364856719970703,7.600000000000001e-06,1.4933333333333334,560,,,,,,,,,,,,,
1.8033,7.2750349044799805,7.2e-06,1.52,570,,,,,,,,,,,,,
1.7576,6.513479709625244,6.8e-06,1.5466666666666666,580,,,,,,,,,,,,,
1.7161,5.842116355895996,6.4000000000000006e-06,1.5733333333333333,590,,,,,,,,,,,,,
1.576,5.731112480163574,6e-06,1.6,600,,,,,,,,,,,,,
1.8337,5.509836196899414,5.600000000000001e-06,1.6266666666666667,610,,,,,,,,,,,,,
1.8185,6.964885234832764,5.2e-06,1.6533333333333333,620,,,,,,,,,,,,,
1.6877,5.633885383605957,4.800000000000001e-06,1.6800000000000002,630,,,,,,,,,,,,,
1.8955,6.578238010406494,4.4e-06,1.7066666666666666,640,,,,,,,,,,,,,
1.7409,5.935312747955322,4e-06,1.7333333333333334,650,,,,,,,,,,,,,
1.6863,5.295973300933838,3.6e-06,1.76,660,,,,,,,,,,,,,
1.7532,7.296468734741211,3.2000000000000003e-06,1.7866666666666666,670,,,,,,,,,,,,,
1.8934,6.994644641876221,2.8000000000000003e-06,1.8133333333333335,680,,,,,,,,,,,,,
1.8814,5.582093238830566,2.4000000000000003e-06,1.8399999999999999,690,,,,,,,,,,,,,
1.8852,6.844775199890137,2e-06,1.8666666666666667,700,,,,,,,,,,,,,
1.8531,7.776905536651611,1.6000000000000001e-06,1.8933333333333333,710,,,,,,,,,,,,,
1.7675,5.979229927062988,1.2000000000000002e-06,1.92,720,,,,,,,,,,,,,
1.6667,5.331585884094238,8.000000000000001e-07,1.9466666666666668,730,,,,,,,,,,,,,
1.703,5.583378791809082,4.0000000000000003e-07,1.9733333333333334,740,,,,,,,,,,,,,
1.544,6.715128421783447,0.0,2.0,750,,,,,,,,,,,,,
,,,2.0,750,3.2224385738372803,0.4822,0.333,0.4441,0.482,22770.3768,0.044,0.022,,,,,
,,,2.0,750,,,,,,,,,52825.3461,0.114,0.014,2354744629094400.0,2.015653280893962
