loss,grad_norm,learning_rate,epoch,step,training_loss,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9071,9.304070472717285,1.896e-05,1.104,690.0,,,,,,,,,,,,,,
0.8256,7.199842929840088,1.8800000000000003e-05,1.12,700.0,,,,,,,,,,,,,,
0.9398,6.728869438171387,1.8639999999999998e-05,1.1360000000000001,710.0,,,,,,,,,,,,,,
0.8307,6.591338157653809,1.848e-05,1.152,720.0,,,,,,,,,,,,,,
0.824,7.825768947601318,1.832e-05,1.168,730.0,,,,,,,,,,,,,,
0.8965,6.382347583770752,1.816e-05,1.184,740.0,,,,,,,,,,,,,,
0.9627,7.136598110198975,1.8e-05,1.2,750.0,,,,,,,,,,,,,,
0.8321,6.550604820251465,1.7840000000000002e-05,1.216,760.0,,,,,,,,,,,,,,
0.9056,7.848232269287109,1.768e-05,1.232,770.0,,,,,,,,,,,,,,
0.8506,7.265583038330078,1.7519999999999998e-05,1.248,780.0,,,,,,,,,,,,,,
0.9282,5.791942596435547,1.736e-05,1.264,790.0,,,,,,,,,,,,,,
0.8391,8.205665588378906,1.72e-05,1.28,800.0,,,,,,,,,,,,,,
0.9815,6.343441963195801,1.704e-05,1.296,810.0,,,,,,,,,,,,,,
0.9625,6.881002902984619,1.688e-05,1.312,820.0,,,,,,,,,,,,,,
0.8299,6.385374069213867,1.672e-05,1.328,830.0,,,,,,,,,,,,,,
0.8506,6.282942771911621,1.656e-05,1.3439999999999999,840.0,,,,,,,,,,,,,,
0.956,6.6290459632873535,1.64e-05,1.3599999999999999,850.0,,,,,,,,,,,,,,
0.8267,6.844780445098877,1.624e-05,1.376,860.0,,,,,,,,,,,,,,
0.9026,7.135034084320068,1.6080000000000002e-05,1.392,870.0,,,,,,,,,,,,,,
0.9256,7.691931247711182,1.592e-05,1.408,880.0,,,,,,,,,,,,,,
0.8207,7.231589317321777,1.576e-05,1.424,890.0,,,,,,,,,,,,,,
0.8045,7.711236476898193,1.56e-05,1.44,900.0,,,,,,,,,,,,,,
0.9821,8.426546096801758,1.544e-05,1.456,910.0,,,,,,,,,,,,,,
0.8095,7.100739479064941,1.528e-05,1.472,920.0,,,,,,,,,,,,,,
0.8709,7.233641624450684,1.5120000000000001e-05,1.488,930.0,,,,,,,,,,,,,,
0.9234,8.41926097869873,1.4959999999999999e-05,1.504,940.0,,,,,,,,,,,,,,
0.8051,7.47852897644043,1.48e-05,1.52,950.0,,,,,,,,,,,,,,
0.9036,6.83958101272583,1.464e-05,1.536,960.0,,,,,,,,,,,,,,
0.8502,5.364747524261475,1.448e-05,1.552,970.0,,,,,,,,,,,,,,
0.9273,8.326238632202148,1.432e-05,1.568,980.0,,,,,,,,,,,,,,
0.879,6.654904365539551,1.416e-05,1.584,990.0,,,,,,,,,,,,,,
0.947,7.461643695831299,1.4e-05,1.6,1000.0,,,,,,,,,,,,,,
0.7943,7.275620937347412,1.384e-05,1.616,1010.0,,,,,,,,,,,,,,
0.8756,8.439189910888672,1.3680000000000001e-05,1.6320000000000001,1020.0,,,,,,,,,,,,,,
0.8872,9.340051651000977,1.352e-05,1.6480000000000001,1030.0,,,,,,,,,,,,,,
0.9339,8.003948211669922,1.336e-05,1.6640000000000001,1040.0,,,,,,,,,,,,,,
0.8897,6.138416767120361,1.32e-05,1.6800000000000002,1050.0,,,,,,,,,,,,,,
0.8444,7.121671676635742,1.304e-05,1.696,1060.0,,,,,,,,,,,,,,
0.8573,7.253983497619629,1.288e-05,1.712,1070.0,,,,,,,,,,,,,,
0.9211,7.353255271911621,1.272e-05,1.728,1080.0,,,,,,,,,,,,,,
0.9557,7.153964519500732,1.2560000000000002e-05,1.744,1090.0,,,,,,,,,,,,,,
0.8663,6.809699535369873,1.24e-05,1.76,1100.0,,,,,,,,,,,,,,
0.9063,8.396252632141113,1.224e-05,1.776,1110.0,,,,,,,,,,,,,,
0.835,5.66105842590332,1.2080000000000001e-05,1.792,1120.0,,,,,,,,,,,,,,
0.829,6.728212356567383,1.192e-05,1.808,1130.0,,,,,,,,,,,,,,
0.8922,7.119638919830322,1.1760000000000001e-05,1.8239999999999998,1140.0,,,,,,,,,,,,,,
0.9832,7.513062000274658,1.16e-05,1.8399999999999999,1150.0,,,,,,,,,,,,,,
0.9977,7.907849311828613,1.144e-05,1.8559999999999999,1160.0,,,,,,,,,,,,,,
0.8831,8.718358039855957,1.128e-05,1.8719999999999999,1170.0,,,,,,,,,,,,,,
0.9356,6.217788219451904,1.112e-05,1.888,1180.0,,,,,,,,,,,,,,
0.9509,7.296331405639648,1.096e-05,1.904,1190.0,,,,,,,,,,,,,,
0.875,7.9523468017578125,1.08e-05,1.92,1200.0,,,,,,,,,,,,,,
0.8633,8.078899383544922,1.0640000000000001e-05,1.936,1210.0,,,,,,,,,,,,,,
0.8771,7.017703056335449,1.048e-05,1.952,1220.0,,,,,,,,,,,,,,
0.9481,8.065140724182129,1.032e-05,1.968,1230.0,,,,,,,,,,,,,,
0.8834,7.251525402069092,1.0160000000000001e-05,1.984,1240.0,,,,,,,,,,,,,,
1.0195,7.522352695465088,9.999999999999999e-06,2.0,1250.0,,,,,,,,,,,,,,
,,,2.0,,1.0195,,,,,,,,,,,,,
,,,2.0,1250.0,,2.9393961429595947,0.4654,0.3125,0.427,0.4655,10678.7546,0.094,0.023,,,,,
0.6668,7.930060863494873,9.84e-06,2.016,1260.0,,,,,,,,,,,,,,
0.6674,6.253603935241699,9.68e-06,2.032,1270.0,,,,,,,,,,,,,,
0.6565,7.0942277908325195,9.52e-06,2.048,1280.0,,,,,,,,,,,,,,
0.6614,6.9235758781433105,9.36e-06,2.064,1290.0,,,,,,,,,,,,,,
0.6059,6.9508891105651855,9.2e-06,2.08,1300.0,,,,,,,,,,,,,,
0.7236,6.323339939117432,9.04e-06,2.096,1310.0,,,,,,,,,,,,,,
0.7264,6.921885967254639,8.88e-06,2.112,1320.0,,,,,,,,,,,,,,
0.7464,6.733346462249756,8.720000000000001e-06,2.128,1330.0,,,,,,,,,,,,,,
0.7143,7.701982021331787,8.56e-06,2.144,1340.0,,,,,,,,,,,,,,
0.6634,7.154428958892822,8.400000000000001e-06,2.16,1350.0,,,,,,,,,,,,,,
0.712,6.627648830413818,8.24e-06,2.176,1360.0,,,,,,,,,,,,,,
0.7832,7.073655605316162,8.079999999999999e-06,2.192,1370.0,,,,,,,,,,,,,,
0.669,5.79634952545166,7.92e-06,2.208,1380.0,,,,,,,,,,,,,,
0.729,6.361667156219482,7.76e-06,2.224,1390.0,,,,,,,,,,,,,,
